title,class
Pygmy slow loris, mammalia
Large-spotted civet, mammalia
Small-toothed palm civet, mammalia
Owston's palm civet, mammalia
Spotted seal, mammalia
Yarkand deer, mammalia
Banteng, mammalia
Golden takin, mammalia
Tibetan argali, mammalia
Himalayan serow, mammalia
Ganges river dolphin, mammalia
Yangtze finless porpoise, mammalia

Szechenyi's monal-partridge, aves
Hainan peacock-pheasant, aves
Baer's pochard,aves
Spoon-billed sandpiper,aves
Saunders's gull,aves
Black-footed albatross,aves
Oriental stork,aves
White-bellied heron,aves
Red-headed vulture,aves
Greater spotted eagle,aves
Sichuan jay,aves
Przevalski's parrotbill,aves
Golden-fronted fulvetta,aves
Blue-crowned laughingthrush,aves
Rufous-headed robin,aves
Jankowski's bunting,aves
Yellow-breasted bunting,aves

Elongated tortoise, reptilia
Loggerhead sea turtle, reptilia
Phrynocephalus mystaceus, reptilia
Yellow monitor, reptilia
Xizang hot-spring keelback, reptilia
Mangshan pit viper, reptilia

Amji's salamander, amphibia
Puxiong salamandercreator, amphibia
Clawed salamander, amphibia
Kaluga, osteichthyes
Tenualosa reevesii, osteichthyes
Coreius septentrionalis, osteichthyes
Giant pangasius, osteichthyes
Grylloblattella cheni, insecta


